word	sth	binarySentiment	smallScaleSentiment	bigScaleSentiment	SO-PMI_score
poddany	c	0	-1	-1	-4.6
przewrażliwiony	m	1	1	-2	-3.6
cudzoziemiec	c	0	0	0	-2.6
przekonywać	m	1	1	0	-1.8
skrupuł	c	1	1	1	-3.0
klatka	c	0	1	0	-3.5
piękność	c	0	-1	0	-0.6
osiągnąć	c	0	0	0	3.3
umięśniony	m	1	-1	-1	-1.0
telewizor	c	0	-1	1	-0.5
ciągnąć	c	1	1	0	-2.0
przerazić	c	1	1	0	-2.0
ciemnobrązowy	m	0	0	0	-1.0
możny	c	1	-1	1	-2.0
ogolić	c	1	-1	0	0.5
dochodowy	m	0	-1	0	-1.5
piosenka	c	1	1	0	4.9
rząd	c	0	0	-1	-2.2
towarzystwo	c	0	0	0	3.2
opcja	c	0	1	0	0.4
szklarnia	c	0	-1	1	-0.0
delikatny	m	1	1	-1	-1.9
oznaczać	c	1	1	2	-2.5
nieobliczalny	c	0	0	1	1.5
omylny	c	1	1	-2	-1.0
przebić	c	1	-1	2	-2.2
wiedza	c	0	1	0	2.6
niewystarczający	c	0	0	-1	-3.6
pracownik	c	0	1	-1	1.3
zwrot	c	0	0	0	-4.4
satysfakcja	c	1	1	0	2.9
zdziwić	c	1	1	0	3.3
płyn	c	0	0	0	-7.0
precyzyjnie	m	1	1	1	-1.5
ruchliwy	m	1	1	1	-6.0
sklepik	c	0	1	0	-2.0
stowarzyszyć	c	1	1	0	-1.0
miasto	c	0	0	0	7.1
korupcja	c	0	-1	0	-1.6
odtłuszczać	c	1	-1	0	-1.0
pierś	c	1	-1	-1	-2.5
nieciekawy	c	1	-1	-2	1.0
zadanie	c	0	1	1	-1.6
prawdopodobny	m	1	-1	0	-2.6
całkowicie	m	0	1	0	3.6
nisko	m	0	0	0	-2.3
upolitycznić	c	0	1	0	-1.0
perfidnie	m	1	-1	-2	-1.0
niezapomniany	c	1	1	1	4.1
stromy	m	1	1	0	-2.6
polsat	c	1	1	0	-1.0
oczywisty	m	0	0	0	-6.1
wliczać	c	0	0	0	-1.0
dobrany	m	0	1	0	-0.8
cudowny	m	1	1	0	4.7
wiosna	c	0	0	0	3.5
refren	c	0	0	0	-1.0
wyrzucać	c	1	-1	0	-4.4
miejscowy	c	1	1	1	-1.9
cios	c	1	-1	-1	-11.4
pentagram	c	1	0	-1	-0.0
prezent	c	1	1	0	2.3
słony	m	1	-1	0	-6.0
miliard	c	0	1	0	-5.6
niesłychanie	c	0	0	0	-4.2
urwany	m	0	0	0	-1.0
wygodny	m	1	1	1	6.3
wykrywalny	m	0	0	0	-1.0
chwilowy	c	1	1	0	-1.5
dmowski	c	1	1	0	-1.0
przyjazny	m	1	1	1	2.5
oparty	m	1	1	0	-1.0
wpadka	c	0	-1	-1	-5.5
tajemnica	c	1	1	1	0.5
poszukiwać	c	0	1	1	3.6
zatrudniać	c	0	1	1	-3.0
naukowy	c	1	1	2	4.5
forsa	c	1	-1	0	-2.8
radykalny	m	1	1	1	-5.7
księga	c	0	0	0	2.5
regulować	c	0	1	0	-8.1
wyciągnąć	c	1	-1	-1	-3.2
ilościowo	m	0	-1	0	-1.0
sterować	c	1	1	1	-1.8
otworzyć	c	1	1	0	3.8
młody	m	1	1	1	6.2
zieleń	c	1	-1	-1	5.2
spodnie	c	0	0	0	-0.6
pretensja	c	1	-1	0	-1.9
trzykrotny	m	0	0	0	-3.6
grzelak	c	1	1	0	-1.0
wyłącznie	m	0	0	0	5.0
zjebać	c	1	-1	0	-1.0
ukrywać	c	1	-1	-1	1.6
jedwabisty	m	1	1	1	-1.0
zniszczalny	m	1	-1	-1	-1.0
regularny	m	0	1	-1	-4.0
rozwiązać	c	0	0	0	-1.8
woda	c	1	-1	1	4.5
merytorycznie	m	1	1	0	-1.0
śmiesznie	m	1	1	-1	-0.5
intensywnie	m	1	1	0	-9.1
zastrzec	c	0	0	0	-1.0
deszcz	c	0	-1	-1	0.9
sklep	c	0	0	0	4.3
prostolinijny	m	1	-1	-1	-1.0
kumaty	m	1	1	0	-1.0
zobaczyć	c	1	-1	1	5.1
miesiąc	c	1	1	0	4.6
odświeżyć	c	1	0	-1	0.5
przeszłość	c	0	1	0	-0.1
ciasny	m	0	1	-1	-1.0
forum	c	0	1	0	-0.2
współudział	c	1	-1	0	-1.0
ostatnio	c	0	0	0	2.2
dłuuugi	m	1	1	0	-1.0
kilkakrotnie	c	0	0	0	-4.0
trafny	m	1	1	1	-1.6
dziewczęcy	m	1	1	0	-1.0
czynić	c	0	1	1	4.9
serce	c	1	1	0	4.2
znaczny	m	0	1	-1	-2.4
dziewczęco	m	1	1	2	-1.0
romantycznie	m	1	-1	-1	-1.0
łaciński	c	0	1	1	-0.6
przyszłość	c	0	0	0	2.6
założenie	c	1	1	0	-1.1
okrutnie	m	1	-1	-2	-3.6
należyty	c	0	-1	0	1.1
swój	m	0	1	0	6.2
opakowanie	c	0	1	0	0.3
intuicyjny	m	1	1	0	1.5
kupujący	c	0	0	0	-0.0
pompatyczny	m	1	-1	-1	-1.0
interakcja	c	0	0	0	-3.0
ograniczony	c	1	0	0	-5.2
liryczny	m	1	1	0	-0.8
przepyszny	m	1	1	0	-1.0
niewykonalny	c	1	-1	-1	-1.0
medium	c	1	1	-2	1.1
terapia	c	1	1	-2	-9.0
godzina	c	0	0	0	-0.5
sauna	c	1	1	0	-1.0
klasyka	c	0	-1	0	0.5
znak	c	0	1	0	2.5
bezinteresowny	m	1	1	0	8.4
wejść	c	0	0	0	0.2
maszyna	c	0	-1	0	-1.8
polakożerca	c	1	1	-1	-1.0
natchniony	m	1	1	1	-0.5
burza	c	0	1	0	-2.4
powiększyć	c	0	1	0	-1.0
tchórzliwy	m	1	-1	-1	-3.0
poradnik	c	0	0	0	-2.6
ponur	m	1	1	0	-3.0
dodatkowy	c	0	1	0	-3.6
kretyn	c	1	1	0	-2.0
członek	c	1	-1	-2	-1.3
kontent	c	1	1	0	-1.0
wart	m	0	-1	0	1.6
ująć	c	1	1	0	-0.2
równy	m	0	-1	0	2.0
logiczny	c	1	1	0	-1.6
łatwa	c	1	1	0	-1.0
berlin	c	1	1	0	-1.0
wysypka	c	1	-1	0	-4.6
nigdy	m	0	0	0	4.0
dodatkowo	c	0	0	0	-4.6
europocentryczny	m	0	0	0	-1.0
ścisnąć	c	1	-1	-1	-4.5
lustrzanka	c	0	1	0	-1.0
dziewczyna	c	1	-1	-2	3.2
temat	c	1	0	2	3.7
świetny	m	1	1	1	6.1
błonnik	c	0	0	0	-1.0
obdarzać	c	1	1	0	-0.3
koda	c	0	0	0	-2.0
modyfikować	c	0	-1	0	-3.6
dokument	c	0	0	2	-4.2
dobrać	c	0	-1	0	0.3
kamera	c	1	-1	-1	0.1
olej	c	0	0	0	-2.4
zatrzymać	c	0	0	-1	-2.3
futurystyczny	m	1	1	0	-1.0
informować	c	1	0	0	-4.1
łojotok	c	1	1	-1	-1.0
wilno	c	1	1	0	-1.0
sielski	m	0	1	2	-3.0
modny	m	1	1	0	0.5
kosmiczny	c	1	-1	0	-5.0
wiecznie	m	0	1	1	0.6
doskonały	m	1	1	0	4.6
ewakuacja	c	0	1	0	-1.0
spotkanie	c	0	0	0	5.3
wyznaczyć	c	0	0	0	-2.6
dziedzina	c	0	1	0	0.6
klapa	c	1	1	-2	-4.0
wszechmocny	m	0	1	-1	1.0
podstawowy	m	0	0	0	0.6
winny	c	0	-1	1	-1.6
wizyta	c	0	1	0	1.0
pędzelka	c	1	1	0	-1.0
wytrysk	c	1	-1	0	-5.2
gwarancja	c	1	1	1	-2.6
wartościowy	m	1	1	0	0.2
nałożyć	c	0	-1	-2	-4.8
seksownie	m	1	1	2	-1.0
szelka	c	0	1	0	-1.0
wgląd	c	0	-1	-1	-2.0
palenisko	c	1	1	-1	-0.0
szary	m	1	-1	-1	-3.5
lesbijka	c	1	-1	0	-0.0
nadprzyrodzony	m	1	-1	-1	-0.0
poddać	c	0	1	0	-5.3
komunista	c	1	-1	0	-0.4
makaron	c	1	-1	-1	-1.0
podmiot	c	0	1	0	-1.2
smaczny	m	1	1	2	1.0
michał	c	1	1	0	-1.0
pocieszyć	m	1	1	1	-1.8
zadecydować	c	0	0	0	-1.5
boczek	c	0	0	0	-0.0
karpaty	c	1	1	0	-1.0
wycofywać	c	1	1	1	-5.6
radosny	m	1	1	0	-0.9
fryzjerka	c	1	1	1	-1.0
wypowiedź	c	0	0	0	1.3
miły	m	1	1	2	6.8
bydgoszcz	c	1	1	0	-1.0
dosadzić	c	0	1	2	-1.0
fizjologiczny	m	0	0	0	-6.1
wizjoner	c	0	0	1	-2.0
miło	c	1	0	1	7.5
wino	c	0	1	-1	0.4
konstytucja	c	1	1	0	-1.0
wymyślić	c	1	-1	0	5.4
niebo	c	0	0	1	3.9
nienaruszony	c	0	0	0	-1.0
zablokować	c	0	1	1	-5.9
zyskowny	m	1	1	1	-2.0
szok	c	0	0	0	-2.4
pomyłka	c	1	1	1	-5.7
pociągający	m	1	1	1	1.1
purytański	m	1	1	-1	-1.0
odprowadzać	c	1	0	0	-2.0
zabawka	c	1	-1	-1	6.2
makieta	c	0	1	0	-1.0
ustalać	c	0	0	0	-4.4
widocznie	c	1	0	2	-6.2
pragnienie	c	1	1	0	2.8
blokować	c	1	-1	0	-3.4
ufundować	c	1	0	0	4.1
samolot	c	1	1	0	-2.2
sztab	c	1	1	2	-1.5
dostępny	m	1	1	0	-2.7
garbaty	m	1	-1	-1	-2.0
praktyczny	m	1	1	-1	0.7
artystyczny	m	1	1	1	8.1
potrzebny	m	1	1	1	4.8
niemało	c	1	1	-1	0.5
piotrek	c	1	1	0	-1.0
zapisać	c	0	0	0	-1.9
uszczęśliwić	c	1	1	1	-1.0
demoniczny	m	1	-1	-1	-1.0
miejsce	c	1	1	0	3.6
wyborca	c	1	1	-2	-7.0
przypadek	c	0	-1	0	3.3
łatwowierny	m	1	-1	-1	-1.0
uczeń	c	1	1	1	-1.3
zaskakiwać	m	0	0	0	3.1
życzliwy	m	1	1	2	5.3
proch	c	0	1	0	-4.6
społecznie	m	1	1	-1	-0.9
fragment	c	1	1	0	2.2
czuły	m	1	-1	2	-2.2
ania	c	1	1	0	-1.0
wesolutki	m	1	1	1	-1.0
chorobotwórczy	c	1	-1	0	-2.6
przyprawa	c	1	-1	2	0.5
uniwersalistyczny	c	1	-1	-1	-1.0
czwarty	c	0	0	0	0.5
ograniczenie	c	1	1	-1	-1.0
bank	c	0	0	0	-0.9
siedziba	c	0	0	0	-3.7
laleczka	c	1	1	0	-1.0
niezbędny	c	0	0	0	-2.0
tyle	c	0	-1	1	4.8
rozwlec	m	1	-1	-1	-1.0
zwycięzca	c	1	1	0	-4.4
wygłosić	c	0	0	0	1.3
ubezpieczyć	c	0	1	0	-1.0
jakość	c	0	0	0	-0.4
uprzejmy	m	0	1	1	-2.4
bona	c	0	1	0	-1.0
komentarz	c	1	-1	-1	-3.3
objawowa	c	1	1	0	-1.0
głodny	m	1	1	-2	-3.2
deklaracja	c	1	-1	-1	-4.2
liga	c	0	0	0	-8.7
głodować	c	1	1	-2	-2.0
przelotny	c	1	1	0	-2.6
scenariusz	c	1	1	0	0.2
cudnie	m	1	1	2	-0.0
załatwić	c	0	1	0	1.0
tłumacz	c	0	1	1	-0.5
zjadliwie	m	1	-1	-1	-1.0
zamiennik	c	0	1	-2	-1.0
przesadny	m	1	-1	-1	0.2
nędza	c	1	-1	0	-1.5
odbić	c	0	1	-2	-2.3
wnikliwy	m	0	1	0	-2.0
ochota	c	1	0	0	0.2
tyć	m	1	-1	-1	-1.0
debil	c	1	-1	-1	-0.0
klarowny	m	0	1	1	-1.0
daniel	c	1	1	1	-1.0
zabaweczka	c	1	1	2	-1.0
nieudolny	c	1	-1	-2	-2.0
twórczy	c	0	0	-2	1.2
niepoprawny	c	0	1	0	-2.0
równoznaczny	c	1	0	0	-2.0
zjawisko	c	1	-1	0	-2.8
ocenić	c	0	1	1	1.1
szałowy	c	1	-1	-1	-1.0
wróbel	c	1	1	0	-1.0
automatycznie	c	0	0	0	-2.9
dosadny	m	0	-1	0	-2.0
strata	c	0	1	-2	-1.3
jesienny	c	0	0	1	-5.6
wojsko	c	1	1	0	-5.4
gruby	c	0	1	0	-0.7
rolka	c	1	1	0	-0.0
psychodeliczny	m	0	1	1	0.5
wrażenie	c	1	1	0	5.6
uznać	c	1	1	-1	1.6
wehrmacht	c	1	1	0	-1.0
zalesiony	c	0	0	0	-1.0
maksymalnie	m	0	0	0	-3.0
staranny	m	1	1	1	2.9
stosować	c	1	-1	-2	-2.2
efekciarski	m	1	-1	-1	-1.0
dziecięco	m	1	1	2	-1.0
natryskiwać	c	1	1	0	-1.0
podnieść	m	1	-1	-1	-1.7
miejscowość	c	0	1	0	-1.2
wariat	c	1	1	-1	-1.5
karczma	c	1	0	2	-1.0
entuzjastycznie	m	1	-1	2	-0.0
zaskoczyć	c	1	1	0	0.4
płytka	m	0	0	0	0.3
bogato	m	1	1	0	-1.0
oddzielny	c	0	0	0	-2.0
kwestionować	c	0	-1	0	-1.9
jednostajny	m	0	0	0	-1.0
zysk	c	1	1	0	-0.0
krajoznawczy	m	0	1	0	-1.0
królowa	c	1	1	0	0.8
czynny	m	0	1	0	-2.5
dwukrotnie	m	0	0	-1	-4.0
słów	c	1	1	0	-1.0
zdrobniale	m	1	-1	0	-1.0
bogaty	m	0	1	0	3.2
namolny	m	1	-1	-1	-1.0
wioska	c	0	1	0	-0.3
estetycznie	m	1	1	2	2.7
ten	m	0	1	0	4.4
szeroki	m	0	1	0	3.3
pilnie	c	1	1	0	-2.5
zadać	c	0	1	1	-3.2
malutki	m	1	-1	0	-0.8
nadwaga	c	1	1	0	-0.8
pomarańczowy	c	0	-1	-1	-0.9
doić	c	1	-1	0	-1.0
wyłonić	c	0	0	0	-3.0
wyraz	c	0	-1	-2	2.3
ekspresyjny	m	1	1	1	-0.5
zaliczać	c	0	0	0	-4.8
obdarty	m	1	-1	-1	-1.0
ceremonia	c	0	1	0	-0.0
maskotka	c	1	1	-1	-1.0
obraźliwy	c	1	-1	0	-5.9
sprzedający	c	0	1	1	-1.0
wrzeć	c	0	0	0	-1.0
dziesiąty	c	0	0	0	-4.0
zdziwiony	c	1	-1	0	-3.6
wybitny	c	1	1	1	3.3
ciągły	m	1	0	0	-4.5
nieadekwatny	c	1	-1	0	-0.0
pisać	c	0	0	0	5.8
ksiądz	c	1	-1	-2	2.6
stosunek	c	1	1	0	0.2
rozrzutny	m	1	-1	1	-1.0
zabawa	c	1	-1	0	6.8
klinowaty	m	1	-1	-1	-1.0
zakańczać	c	1	1	0	-1.0
dłuuuugi	m	1	1	0	-1.0
wewnętrzny	m	0	-1	-1	1.0
szczegółowy	m	0	1	1	-2.1
przejaw	c	1	0	0	-2.8
dorośle	m	0	1	0	-1.0
narkotyczny	m	1	-1	-2	-1.0
strażnik	c	1	1	0	-1.5
krzak	c	0	1	1	-4.0
wieźć	c	1	1	0	-0.3
wygodnie	m	1	1	0	1.0
cieleśnie	m	0	0	0	-1.0
scalić	c	0	0	0	-1.0
soczysty	c	1	-1	0	2.5
odnaleźć	c	0	0	0	5.2
piwnica	c	1	1	0	0.5
pradawny	m	1	1	-1	-1.0
znaczący	c	0	1	1	-3.9
apokalipsa	c	1	1	0	-1.0
wszystek	m	0	0	0	9.8
mina	c	0	0	0	-2.4
przybliżyć	c	0	0	0	-2.0
okazja	c	1	0	0	7.2
kiczowaty	m	0	-1	-1	1.0
rejestr	c	0	0	0	0.3
drastycznie	m	1	-1	-1	-2.0
kiełbasa	c	1	-1	1	1.5
inwestor	c	0	0	0	-4.5
furtka	c	1	0	0	-0.0
zmiana	c	0	-1	-1	0.4
policja	c	1	1	0	-3.6
pudelek	c	0	1	0	-1.0
przedmiot	c	0	1	0	4.7
naturalny	m	1	0	1	4.3
zaprzeczyć	c	1	1	-1	-5.4
wytypować	c	0	1	0	-2.0
przypiąć	c	1	1	0	-0.0
partyjny	c	1	1	-2	-5.0
ostrożny	m	0	1	1	-4.4
kulturystyka	c	1	1	1	-1.0
kompletnie	m	0	0	0	0.9
kłopot	c	0	1	1	-1.5
leniuchować	c	0	0	0	-1.0
wspominać	c	1	1	1	4.7
szpital	c	1	1	1	-1.6
perfekcja	c	0	-1	0	1.5
nieco	m	0	1	-1	5.1
podniebny	m	0	-1	0	-1.0
marzyć	c	1	1	0	1.5
złożony	m	0	0	0	-2.4
widzialny	m	0	0	0	-3.6
adekwatny	c	1	1	0	1.8
przejęcie	c	0	-1	0	-2.6
pracowity	m	1	1	1	-2.0
usługa	c	1	-1	0	2.4
klaśnięcie	c	1	1	0	-1.0
trafić	c	0	-1	0	0.7
złoże	c	1	-1	0	-1.0
wytrawny	m	0	1	1	-1.0
rower	c	0	1	0	0.4
żółtawy	c	0	0	0	-2.0
cwany	m	1	1	0	-1.0
młodo	m	1	1	2	-0.6
malowniczy	m	0	1	0	1.5
zamulać	c	1	0	0	-2.0
jezus	c	1	1	0	-1.0
urodziwy	m	1	1	1	-2.0
cenny	m	0	1	0	2.6
dziura	c	0	0	0	-2.9
dwumetrowy	m	0	0	0	-0.0
wystarczać	c	1	-1	0	0.5
zmieniać	c	1	1	2	2.6
cały	m	0	0	0	5.7
samotnia	m	0	-1	0	-0.5
wstrzymać	c	0	-1	0	-3.0
osiągalny	m	1	1	1	-2.6
wywiesić	c	0	0	0	-2.0
mleko	c	0	1	0	-1.9
wystarczająco	m	0	0	0	0.8
sympatyczny	m	1	1	2	3.3
zbój	c	1	-1	-1	-1.0
proroczy	m	1	-1	0	-2.0
korona	c	0	0	0	1.5
włóczyć	c	1	1	0	-2.0
liczba	c	0	1	0	-3.4
nieograniczony	c	0	0	0	-0.6
równoległobok	c	0	0	0	-1.0
zapis	c	0	1	0	-2.6
milusiński	m	1	-1	0	-1.0
idealistyczny	m	1	1	-1	1.0
podłączyć	c	0	0	0	-4.0
podstawa	c	0	1	0	3.0
naukowiec	c	0	1	2	-8.6
radio	c	0	0	0	-0.3
narodowy	c	0	1	-1	3.1
koszmar	c	0	-1	-2	-5.5
odzwierciedlić	c	0	1	0	-1.0
zgłosić	c	0	0	0	-1.5
obsadzić	c	1	1	2	-3.0
wymagać	c	0	-1	0	0.5
nudno	c	1	-1	-1	-3.0
zakładać	c	0	0	0	-0.2
dzieciak	c	0	0	0	1.4
ostatni	c	0	0	0	3.6
śledzić	c	1	-1	0	-5.4
wypadek	c	1	0	0	-1.3
likwidacja	c	0	-1	0	-4.6
doświadczony	m	1	1	1	-3.8
towarzyszyć	c	1	-1	0	1.7
studium	c	0	0	0	4.2
zamierzyć	c	0	0	0	-1.4
wyrzut	c	1	1	0	-5.3
skończony	m	1	0	0	-1.2
opinia	c	1	1	1	1.0
dziecko	c	1	1	-1	1.6
laptop	c	0	0	0	-1.0
umiejscowić	c	1	-1	0	-0.6
ponownie	c	0	0	0	0.3
nędzny	c	1	-1	-1	-1.0
wyrosnąć	m	1	-1	0	-0.0
egzaltowany	m	1	1	1	-1.0
kocioł	c	1	1	0	-3.6
niemen	c	1	1	0	-1.0
większość	c	0	-1	0	-0.3
zorientować	c	1	-1	0	-4.9
zaprojektować	c	1	-1	0	1.0
odległy	m	1	1	1	-0.5
rzeczywisty	m	0	0	0	2.6
zbliżony	c	0	0	0	-2.2
maciej	c	1	1	0	-1.0
sławny	m	1	1	1	1.4
noga	c	0	0	0	0.9
zdecydowanie	c	1	0	0	1.9
naprawdę	m	1	-1	1	8.1
palnąć	c	0	1	0	-1.0
gatunek	c	1	1	-1	1.4
wielce	c	1	1	-1	-0.6
przytomny	c	0	1	1	-0.0
początek	c	0	1	0	4.9
atmosfera	c	0	0	1	-0.3
traumatyczny	c	1	1	1	-4.7
projektant	c	1	0	0	1.9
leasing	c	0	0	0	-1.0
pragnąć	c	0	0	0	5.0
wzniosły	c	1	1	1	1.5
inny	m	1	1	1	2.8
pilot	c	0	0	0	-5.4
wyrozumiały	m	1	1	1	0.5
garaż	c	1	1	1	-0.3
akwarium	c	0	1	1	-0.0
złudzenie	c	1	-1	-1	-2.6
uważny	m	1	1	0	-4.2
basowy	m	1	-1	0	-2.0
gapowaty	m	1	-1	-1	-1.0
gromadzić	c	0	0	0	-2.0
zamieszać	c	0	0	0	-1.6
współczuć	m	1	-1	1	-2.0
istotny	m	0	1	1	-3.5
ciekawy	m	1	1	1	5.3
leciutki	m	1	1	0	-3.0
rozpaczliwie	m	1	1	1	-3.2
upomnieć	c	1	1	0	-2.6
henryk	c	1	1	0	-1.0
glasgow	c	1	1	0	-1.0
końcowy	m	0	0	0	-5.7
natura	c	1	1	1	-1.7
retoryczny	m	1	0	2	-1.0
dostatek	c	1	-1	0	-0.0
województwo	c	0	0	1	-7.2
wznieść	m	0	0	0	-0.5
europejski	m	0	1	1	1.0
kotara	c	1	1	0	-1.0
majątek	c	1	-1	2	-0.7
czarować	m	1	1	1	-1.0
łączka	c	0	1	0	-1.0
wąski	m	0	0	0	-0.7
ubiegłoroczny	c	0	0	0	-2.0
wąsko	m	1	-1	-1	-1.0
aparat	c	0	1	2	-2.5
piżama	c	0	0	0	-1.0
prowadzić	c	0	0	1	2.9
brat	c	1	0	0	0.5
potulny	m	1	-1	-1	-0.0
pobudliwy	m	1	-1	-2	-1.0
zawiesić	c	0	-1	0	-2.7
szybka	m	1	1	0	-2.6
bliźni	c	1	1	2	3.0
szybki	c	1	1	1	-0.1
popalić	c	1	1	0	0.5
projektować	c	0	1	0	-2.5
koszmarnie	m	1	-1	-2	-2.6
pielęgniarka	c	1	1	0	-3.1
szybko	c	1	0	0	-0.3
namiota	c	1	-1	0	-0.0
spowodować	c	1	1	0	-3.4
kompensować	c	0	0	0	-1.0
związać	c	1	1	0	0.9
komplet	c	0	0	0	-1.0
otwarcie	c	0	1	0	-1.2
zdecydować	m	0	0	-1	1.7
barokowy	m	0	0	0	-0.9
błahostka	c	0	0	-1	-1.0
bezradny	m	1	-1	-1	-4.7
zdecydowany	m	0	1	0	-2.6
bramkarz	c	1	1	1	-7.0
rozkosz	c	0	-1	0	1.5
cytologia	c	0	-1	0	-1.0
nagłówek	c	0	0	0	-0.5
ratunek	c	1	1	-1	0.4
spacja	c	0	-1	0	-0.0
rozbudowa	c	0	0	0	-2.0
śpiewać	c	1	1	0	6.3
namacalny	m	0	0	0	-3.0
winien	m	0	1	0	-0.9
bolszewik	c	1	-1	-1	-2.0
przeciętny	c	0	-1	-1	-3.6
łóżko	c	0	0	0	-1.6
toporny	m	1	-1	-1	1.0
